ID,Team,Opp,vFA,W,L,IP,TBF,H,ER,HR,BB,SO,K/9,BB/9,HR/9,BABIP,GBpct,HR/FB,ERA,FIP,xFIP,PCL,Coors,Pit,Str,Pitpct,Age
1,COL,@ARI,83.7,1,0,5,21,5,1,1,1,3,5.4,1.8,1.8,0.25,0.588,0.2,1.8,5.09,3.96,y,n,85,53,0.623529412,31
1,COL,@LAD,86.1,0,1,4,19,6,5,1,1,3,6.75,2.25,2.25,0.385,0.214,0.167,11.25,6.34,5.3,y,n,66,38,0.575757576,31
1,COL,ARI,84.1,0,0,4,18,5,2,0,0,0,0,0,0,0.294,0.563,0,4.5,3.84,5.31,y,y,75,45,0.6,31
1,COL,@SFG,84.1,0,1,5,22,6,2,0,1,3,5.4,1.8,0,0.333,0.333,0,3.6,2.49,5.14,y,n,78,53,0.679487179,31
1,COL,SFG,83.9,0,1,3,16,7,5,0,0,5,15,0,0,0.636,0.273,0,15,-0.24,1.23,y,y,78,51,0.653846154,31
1,COL,@PHI,84.4,0,0,5.2,24,6,0,0,1,7,11.12,1.59,0,0.375,0.467,0,0,1.15,1.67,y,n,86,60,0.697674419,31
1,COL,SDP,83.8,0,0,3.2,21,10,5,1,0,4,9.82,0,2.45,0.6,0.467,0.333,12.27,5.28,2.93,y,y,80,55,0.6875,31
1,COL,LAD,85.8,1,0,5,19,3,0,0,1,6,10.8,1.8,0,0.25,0.5,0,0,1.29,2.47,y,y,91,56,0.615384615,31
1,COL,@NYM,85.2,0,0,5,21,5,1,0,2,4,7.2,3.6,0,0.333,0.533,0,1.8,2.69,3.87,y,n,82,46,0.56097561,31
1,COL,MIA,84.8,0,0,5,22,5,4,1,1,3,5.4,1.8,1.8,0.25,0.769,0.5,7.2,5.69,3.68,y,y,71,42,0.591549296,31
1,COL,MIL,84.7,1,0,5.1,25,6,3,1,2,2,3.38,3.38,1.69,0.263,0.667,0.25,5.06,6.47,5.13,y,y,76,44,0.578947368,31
1,COL,@LAD,86.6,0,0,4,18,4,3,1,2,2,4.5,4.5,2.25,0.231,0.429,0.143,6.75,6.84,6.16,y,n,73,41,0.561643836,31
1,COL,SFG,85.1,0,1,3.2,21,9,6,2,2,3,7.36,4.91,4.91,0.5,0.4,0.333,14.73,10.19,5.5,y,y,66,41,0.621212121,31
1,COL,STL,85.6,0,1,4,18,6,5,1,0,2,4.5,0,2.25,0.357,0.429,0.2,11.25,6.09,4.68,y,y,56,38,0.678571429,31
1,COL,@ARI,83.7,1,0,6,24,5,2,2,1,4,6,1.5,3,0.176,0.611,0.4,3,6.59,3.48,y,n,97,64,0.659793814,31
1,COL,@SDP,83.6,0,0,5,21,8,5,1,0,5,9,0,1.8,0.467,0.688,0.333,9,3.69,1.98,y,n,80,54,0.675,31
1,COL,PIT,85.3,0,0,5,19,6,1,0,0,1,1.8,0,0,0.333,0.5,0,1.8,2.69,4.16,y,y,72,42,0.583333333,31
1,COL,@WSN,85.5,0,1,5,20,6,3,1,1,5,9,1.8,1.8,0.385,0.643,0.5,5.4,4.29,2.28,y,n,77,49,0.636363636,31
1,COL,@STL,85.4,1,0,5,21,5,2,1,1,2,3.6,1.8,1.8,0.235,0.471,0.167,3.6,5.49,4.66,y,n,77,49,0.636363636,31
1,COL,SDP,84.6,1,0,6,21,3,0,0,1,1,1.5,1.5,0,0.158,0.5,0,0,3.26,5.22,y,y,82,49,0.597560976,31
1,COL,WSN,84.8,0,0,5,21,5,2,0,0,5,9,0,0,0.357,0.538,0,3.6,2.29,3.76,y,y,66,48,0.727272727,31
1,COL,@PHI,85.6,0,0,5,22,6,1,1,0,3,5.4,0,1.8,0.278,0.389,0.111,1.8,4.49,4.54,y,n,76,48,0.631578947,31
1,COL,@DET,85.5,0,0,5.1,27,8,4,0,3,2,3.38,5.06,0,0.364,0.524,0,6.75,4.03,5.68,n,n,94,55,0.585106383,31
1,COL,LAA,86.1,0,1,3.1,21,10,8,0,1,1,2.7,2.7,0,0.526,0.5,0,21.6,3.39,5.16,n,y,74,50,0.675675676,31
2,COL,@SDP,89.9,0,0,4,20,4,2,0,3,2,4.5,6.75,0,0.286,0.692,0,4.5,5.09,6.2,y,n,81,41,0.50617284,24
2,COL,SFG,90.8,0,0,4,17,6,1,1,0,2,4.5,0,2.25,0.357,0.6,0.25,2.25,5.34,3.56,y,y,76,47,0.618421053,24
2,COL,@ATL,89.9,0,1,4,18,2,0,0,4,0,0,9,0,0.143,0.5,0,0,6.09,6.83,y,n,71,32,0.450704225,24
2,COL,SDP,90.4,0,1,3.2,18,4,3,1,3,2,4.91,7.36,2.45,0.25,0.615,0.25,7.36,8,6.06,y,y,76,49,0.644736842,24
2,COL,@CHC,90.9,0,0,4,18,5,2,1,1,4,9,2.25,2.25,0.333,0.385,0.5,4.5,5.09,2.58,y,n,80,51,0.6375,24
2,COL,@NYM,91.1,0,0,4,16,3,1,0,2,4,9,4.5,0,0.3,0.3,0,2.25,2.59,4.43,y,n,83,46,0.554216867,24
2,COL,MIA,90.6,0,0,4,18,3,2,1,3,3,6.75,6.75,2.25,0.182,0.583,0.333,4.5,7.09,4.95,y,y,74,38,0.513513514,24
2,COL,@SFG,91,0,0,4,21,7,3,0,2,3,6.75,4.5,0,0.438,0.625,0,6.75,3.09,4.2,y,n,82,48,0.585365854,24
2,COL,@LAD,90.5,0,0,4,18,1,0,0,5,2,4.5,11.25,0,0.091,0.455,0,0,5.84,7.68,y,n,80,42,0.525,24
2,COL,STL,91.3,0,0,5.1,23,5,2,0,1,3,5.06,1.69,0,0.278,0.75,0,3.38,3.09,3.92,y,y,84,50,0.595238095,24
2,COL,@TEX,91.6,0,1,2.2,18,6,4,0,4,3,10.13,13.5,0,0.545,0.364,0,13.5,5.34,5.9,y,n,78,40,0.512820513,24
2,COL,@PHI,92.2,0,0,3.2,18,5,5,1,2,0,0,4.91,2.45,0.267,0.6,0.333,12.27,8.28,5.93,y,n,75,43,0.573333333,24
2,COL,OAK,92.4,0,1,4,23,7,2,0,4,5,11.25,9,0,0.5,0.5,0,4.5,3.59,5.06,n,y,83,46,0.554216867,24
2,COL,LAA,92.3,0,1,6,26,8,4,2,0,6,9,0,3,0.353,0.579,0.667,6,5.93,2.33,n,y,95,63,0.663157895,24
2,COL,LAD,93.4,1,0,6.2,27,2,2,1,5,2,2.7,6.75,1.35,0.053,0.7,0.2,2.7,6.69,5.85,n,y,100,58,0.58,24
2,COL,HOU,92.4,0,0,5,27,10,6,3,1,2,3.6,1.8,5.4,0.35,0.619,0.6,10.8,11.29,4.96,n,y,90,56,0.622222222,24
2,COL,@MIA,92.3,1,0,6,27,8,4,0,1,3,4.5,1.5,0,0.348,0.652,0,6,2.59,3.82,n,n,111,70,0.630630631,24
2,COL,SEA,93.6,0,1,7,27,7,2,1,0,7,9,0,1.29,0.333,0.368,0.25,2.57,3.38,2.36,n,y,98,66,0.673469388,24
2,COL,@LAD,92.4,0,1,4.1,21,5,6,0,3,1,2.08,6.23,0,0.294,0.563,0,12.46,4.71,5.73,n,n,76,40,0.526315789,24
2,COL,@SDP,92.4,0,1,6.1,27,6,2,0,2,5,7.11,2.84,0,0.3,0.474,0,2.84,2.46,3.39,n,n,90,51,0.566666667,24
3,COL,@ARI,91.2,0,0,5,20,3,2,2,2,7,12.6,3.6,3.6,0.111,0.125,0.286,3.6,6.69,3.55,y,n,80,51,0.6375,24
3,COL,CHC,90.5,1,0,5,21,3,0,0,3,3,5.4,5.4,0,0.2,0.733,0,0,3.69,4.28,y,y,84,51,0.607142857,24
3,COL,ARI,91.5,0,0,3,18,4,4,0,5,4,12,15,0,0.444,0.222,0,12,5.43,7.88,y,y,85,50,0.588235294,24
3,COL,@SDP,92.1,0,1,3,15,4,4,1,2,3,9,6,3,0.333,0.3,0.25,12,7.43,5.05,y,n,67,42,0.626865672,24
3,COL,@PHI,92.3,0,0,4,17,4,1,0,1,3,6.75,2.25,0,0.308,0.462,0,2.25,2.34,3.81,y,n,77,50,0.649350649,24
3,COL,@ATL,89.3,0,0,3,14,5,0,0,1,2,6,3,0,0.455,0.4,0,0,2.76,3.74,y,n,72,43,0.597222222,24
3,COL,LAD,91.6,0,1,4,19,6,5,1,0,4,9,0,2.25,0.357,0.429,0.167,11.25,4.34,3.3,y,y,66,49,0.742424242,24
3,COL,@CHC,92.2,0,0,5,17,2,2,2,1,1,1.8,1.8,3.6,0,0.2,0.2,3.6,8.49,6.23,y,n,72,43,0.597222222,24
3,COL,MIA,91.5,0,0,4,19,3,1,1,4,3,6.75,9,2.25,0.182,0.818,1,2.25,7.84,4.96,y,y,76,42,0.552631579,24
3,COL,@SFG,90.9,0,1,4,18,6,4,1,0,3,6.75,0,2.25,0.357,0.357,0.2,9,4.84,3.43,y,n,73,45,0.616438356,24
3,COL,@LAD,92.2,0,0,4,18,3,0,0,3,7,15.75,6.75,0,0.5,0.333,0,0,3.34,3.71,y,n,84,48,0.571428571,24
3,COL,STL,89.9,0,0,4,18,5,3,1,1,3,6.75,2.25,2.25,0.308,0.286,0.167,6.75,5.59,4.55,y,y,72,44,0.611111111,24
3,COL,CIN,92.8,0,1,5.1,24,7,3,0,1,5,8.44,1.69,0,0.389,0.5,0,5.06,1.78,3.71,y,y,87,57,0.655172414,24
3,COL,@SDP,90,0,1,3,19,9,7,2,0,3,9,0,6,0.5,0.6,0.4,21,9.76,3.54,y,n,53,36,0.679245283,24
3,COL,PHI,92.6,0,1,5,22,5,5,1,2,5,9,3.6,1.8,0.286,0.533,0.167,9,4.89,4.06,y,y,80,49,0.6125,24
3,COL,@WSN,92.9,1,0,6.1,23,1,0,0,2,6,8.53,2.84,0,0.067,0.429,0,0,2.15,4,y,n,81,53,0.654320988,24
3,COL,SDP,91.7,0,1,6,24,2,0,0,3,1,1.5,4.5,0,0.105,0.556,0,0,4.76,6.23,y,y,80,46,0.575,24
3,COL,@SDP,88.6,0,1,3,17,5,3,0,3,2,6,9,0,0.417,0.5,0,9,4.76,6.23,n,n,58,34,0.586206897,24
3,COL,LAD,89.6,0,0,6.2,28,4,1,0,4,5,6.75,5.4,0,0.211,0.412,0,1.35,3.39,4.06,n,y,113,64,0.566371681,24
3,COL,NYM,89.7,0,0,4,19,5,1,1,3,4,9,6.75,2.25,0.4,0.4,0.333,2.25,7.34,5.2,n,y,67,40,0.597014925,24
3,COL,@MIL,90.3,0,0,5,20,2,2,0,3,6,10.8,5.4,0,0.182,0.2,0,3.6,2.49,4.26,n,n,75,42,0.56,24
3,COL,ARI,89.5,0,1,4.1,24,9,5,1,2,3,6.23,4.15,2.08,0.444,0.474,0.333,10.38,6.09,4.11,n,y,100,61,0.61,24
4,COL,CIN,89.9,0,1,4.1,20,6,7,3,1,1,2.08,2.08,6.23,0.2,0.706,0.75,14.54,12.33,4.68,y,y,55,32,0.581818182,25
4,COL,@SDP,90.2,0,0,5,21,3,2,0,3,2,3.6,5.4,0,0.188,0.25,0,3.6,4.09,7.03,y,n,82,47,0.573170732,25
4,COL,PIT,92.4,0,1,4.2,22,6,5,1,3,2,3.86,5.79,1.93,0.313,0.563,0.2,9.64,6.95,5.74,y,y,83,51,0.614457831,25
4,COL,PHI,92.1,1,0,6,23,5,1,0,1,7,10.5,1.5,0,0.333,0.5,0,1.5,1.26,2.24,y,y,82,53,0.646341463,25
4,COL,@STL,92.4,0,1,4.1,21,5,6,0,3,5,10.38,6.23,0,0.385,0.75,0,12.46,2.86,3.2,y,n,89,55,0.617977528,25
4,COL,SDP,92.2,0,0,5,20,5,1,1,0,5,9,0,1.8,0.286,0.2,0.125,1.8,3.69,3.44,y,y,74,49,0.662162162,25
4,COL,WSN,93,0,1,4.1,20,9,4,1,0,3,6.23,0,2.08,0.5,0.588,0.25,8.31,4.71,3.07,y,y,70,52,0.742857143,25
4,COL,@TEX,92.2,0,1,6,24,7,4,2,1,4,6,1.5,3,0.313,0.235,0.222,6,7.09,4.96,y,n,73,49,0.671232877,25
4,COL,@DET,91.6,0,1,5,24,4,2,1,5,4,7.2,9,1.8,0.231,0.5,0.143,3.6,7.69,7.15,n,n,98,48,0.489795918,25
4,COL,LAA,91,0,1,4,25,10,8,3,3,5,11.25,6.75,6.75,0.5,0.471,0.5,18,12.59,5.05,n,y,98,58,0.591836735,25
4,COL,@ARI,91.1,1,0,7,26,4,0,0,2,4,5.14,2.57,0,0.2,0.474,0,0,2.81,3.86,n,n,113,69,0.610619469,25
4,COL,HOU,91.9,1,0,6,30,11,5,0,1,6,9,1.5,0,0.478,0.391,0,7.5,1.59,2.82,n,y,96,61,0.635416667,25
4,COL,@CIN,91.8,1,0,5,23,7,3,0,1,6,10.8,1.8,0,0.438,0.313,0,5.4,1.29,2.76,n,n,95,62,0.652631579,25
4,COL,SEA,90.3,0,1,5,27,9,8,1,4,3,5.4,7.2,1.8,0.421,0.3,0.2,14.4,6.89,5.76,n,y,100,56,0.56,25
4,COL,@SFG,91.5,0,0,7,27,6,1,1,1,10,12.86,1.29,1.29,0.333,0.333,0.167,1.29,2.52,1.92,n,n,93,69,0.741935484,25
4,COL,@SDP,92.2,1,0,6,24,5,1,0,1,7,10.5,1.5,0,0.313,0.267,0,1.5,1.26,2.97,n,n,93,60,0.64516129,25
5,COL,PIT,92.2,0,0,2.2,17,6,4,2,1,1,3.38,3.38,6.75,0.333,0.5,0.667,13.5,14.34,6.25,y,y,68,46,0.676470588,33
5,COL,PHI,91.5,0,1,4.2,21,7,4,1,2,3,5.79,3.86,1.93,0.4,0.25,0.2,7.71,5.88,4.67,y,y,76,45,0.592105263,33
5,COL,@WSN,91.4,0,0,6,24,6,2,1,1,3,4.5,1.5,1.5,0.263,0.45,0.167,3,4.76,4.06,y,n,83,54,0.65060241,33
5,COL,@STL,92.6,0,1,6,25,6,2,0,1,2,3,1.5,0,0.286,0.421,0,3,3.43,5.14,y,n,84,47,0.55952381,33
5,COL,@DET,93,0,1,3,19,8,3,0,2,2,6,6,0,0.571,0.571,0,9,4.76,6.23,n,n,78,50,0.641025641,33
5,COL,OAK,92.5,0,1,5,26,8,7,3,2,5,9,3.6,5.4,0.333,0.294,0.375,12.6,10.69,5.24,n,y,102,66,0.647058824,33
5,COL,@ARI,91.8,0,1,3.1,23,11,7,2,2,4,10.8,5.4,5.4,0.6,0.471,0.4,18.9,10.29,4.7,n,n,90,51,0.566666667,33
5,COL,HOU,93.3,1,0,7,32,12,5,1,0,1,1.29,0,1.29,0.367,0.367,0.077,6.43,4.67,5.54,n,y,99,62,0.626262626,33
5,COL,@CIN,92.6,0,1,5,25,10,2,2,1,5,9,1.8,3.6,0.471,0.444,0.4,3.6,6.89,3.16,n,n,104,67,0.644230769,33
5,COL,SEA,92.6,0,1,6,27,7,6,3,2,4,6,3,4.5,0.222,0.2,0.3,9,9.26,5.21,n,y,102,57,0.558823529,33
5,COL,@SFG,92.5,0,0,5.1,24,4,0,0,4,4,6.75,6.75,0,0.267,0.533,0,0,4.41,5.51,n,n,90,50,0.555555556,33
5,COL,@MIL,93.2,1,0,7,27,3,1,0,3,2,2.57,3.86,0,0.136,0.318,0,1.29,3.81,5.91,n,n,101,55,0.544554455,33
5,COL,SDP,91.6,0,1,7,33,9,6,0,2,1,1.29,2.57,0,0.31,0.5,0,7.71,4.09,5.77,n,y,103,65,0.631067961,33
5,COL,SFG,93.2,0,0,3.1,21,9,6,2,2,1,2.7,5.4,5.4,0.438,0.389,0.286,16.2,12.09,7.38,n,y,80,49,0.6125,33
5,COL,@HOU,92.4,1,0,7,27,4,3,2,3,1,1.29,3.86,2.57,0.095,0.455,0.25,3.86,7.81,5.77,n,n,103,64,0.621359223,33
6,COL,@ARI,90,0,0,5,19,3,0,0,2,4,7.2,3.6,0,0.231,0.308,0,0,2.69,4.16,y,n,75,46,0.613333333,24
6,COL,CHC,90.8,1,0,5,25,7,3,1,4,2,3.6,7.2,1.8,0.333,0.421,0.25,5.4,7.29,5.87,y,y,85,55,0.647058824,24
6,COL,ARI,90.9,0,0,4,21,7,3,0,2,2,4.5,4.5,0,0.412,0.353,0,6.75,3.59,6.53,y,y,84,51,0.607142857,24
6,COL,@SFG,90.1,0,0,5,20,5,1,0,1,2,3.6,1.8,0,0.294,0.353,0,1.8,2.89,5.24,y,n,79,50,0.632911392,24
6,COL,SFG,91.2,0,0,4,19,6,4,1,1,1,2.25,2.25,2.25,0.313,0.294,0.143,9,6.59,5.91,y,y,71,46,0.647887324,24
6,COL,@ATL,90.5,0,1,3.1,20,7,0,0,3,3,8.1,8.1,0,0.5,0.333,0,0,3.99,6.2,y,n,78,44,0.564102564,24
6,COL,SDP,90.9,1,0,7,27,5,1,1,2,4,5.14,2.57,1.29,0.2,0.476,0.143,1.29,4.67,4.28,y,y,74,53,0.716216216,24
6,COL,@CHC,91.4,0,1,5,22,5,1,0,2,3,5.4,3.6,0,0.294,0.294,0,1.8,3.09,5.15,y,n,77,47,0.61038961,24
6,COL,@NYM,90.4,1,0,6,22,4,1,0,0,2,3,0,0,0.2,0.474,0,1.5,2.43,3.9,y,n,73,51,0.698630137,24
6,COL,LAD,89.7,0,1,4.2,28,11,7,3,4,3,5.79,7.71,5.79,0.444,0.429,0.5,13.5,12.74,6.27,n,y,112,63,0.5625,24
6,COL,@PIT,89.7,0,1,5,25,8,5,2,2,5,9,3.6,3.6,0.375,0.294,0.2,9,7.49,5.23,n,n,98,62,0.632653061,24
6,COL,@MIL,90.9,0,0,7,28,4,3,1,1,6,7.71,1.29,1.29,0.167,0.421,0.143,3.86,4.52,4.13,n,n,100,61,0.61,24
6,COL,ARI,90.4,0,0,4,17,4,1,0,3,5,11.25,6.75,0,0.444,0.333,0,2.25,2.84,3.95,n,y,64,41,0.640625,24
6,COL,SFG,89.4,0,1,4,21,4,4,1,5,3,6.75,11.25,2.25,0.25,0.538,0.333,9,8.59,6.45,n,y,90,47,0.522222222,24
7,COL,@STL,93,0,0,3,15,2,2,1,5,3,9,15,3,0.167,0.286,0.333,6,10.43,7.56,y,n,70,34,0.485714286,28
7,COL,WSN,92.6,0,0,3,15,5,5,1,1,4,12,3,3,0.444,0.5,0.25,15,5.76,3.39,y,y,67,41,0.611940299,28
7,COL,@TEX,92.1,0,0,4.2,23,8,5,1,1,3,5.79,1.93,1.93,0.389,0.412,0.2,9.64,5.24,4.02,y,n,92,60,0.652173913,28
7,COL,@PHI,93.3,0,1,4.1,20,5,4,1,2,3,6.23,4.15,2.08,0.286,0.6,0.2,8.31,6.09,4.79,n,n,72,40,0.555555556,28
7,COL,OAK,94.4,0,0,5,21,6,5,2,1,4,7.2,1.8,3.6,0.286,0.688,0.5,9,7.29,3.27,n,y,77,51,0.662337662,28
7,COL,@ARI,93.9,0,1,3,18,7,5,0,2,1,3,6,0,0.467,0.429,0,15,4.43,4.92,n,n,69,40,0.579710145,28
7,COL,LAD,94.1,0,0,3.1,12,2,0,0,1,5,13.5,2.7,0,0.333,0.333,0,0,0.99,1.88,n,y,55,37,0.672727273,28
