"","schoolid","schoolName","urban","charter","schPctnonw","schPctsped","schPctfree","MathAvgScore.0","MathAvgScore.1","MathAvgScore.2"
"1","Dtype 1 Dnum 1 Snum 2","RIPPLESIDE ELEMENTARY",0,0,0,0.117647059,0.362745098,652.8,656.6,652.6
"4","Dtype 1 Dnum 100 Snum 1","WRENSHALL ELEMENTARY",0,0,0.03030303,0.151515152,0.424242424,646.9,645.3,651.9
"7","Dtype 1 Dnum 108 Snum 30","CENTRAL MIDDLE",0,0,0.076923077,0.123076923,0.261538462,654.7,658.5,659.7
"10","Dtype 1 Dnum 11 Snum 121","SANDBURG MIDDLE",1,0,0.097744361,0.082706767,0.248120301,656.4,656.8,659.9
"13","Dtype 1 Dnum 11 Snum 193","OAK VIEW MIDDLE",1,0,0.053789731,0.095354523,0.141809291,657.7,658.2,659.8
"16","Dtype 1 Dnum 11 Snum 195","ROOSEVELT MIDDLE",1,0,0.123417722,0.088607595,0.240506329,655.9,659.1,660.3
"19","Dtype 1 Dnum 11 Snum 3","FRED MOORE MIDDLE SCHOOL",1,0,0.196319018,0.104294479,0.380368098,652,651.8,656.5
"22","Dtype 1 Dnum 11 Snum 4","COON RAPIDS MIDDLE SCHOOL",1,0,0.209359606,0.123152709,0.384236453,656.1,657.4,658.8
"25","Dtype 1 Dnum 11 Snum 6","JACKSON MIDDLE",1,0,0.271375465,0.074349442,0.286245353,654.9,655.3,656.3
"28","Dtype 1 Dnum 11 Snum 90","NORTHDALE MIDDLE",1,0,0.236503856,0.110539846,0.362467866,654.4,656.1,657.1
"31","Dtype 1 Dnum 110 Snum 220","CLEARWATER MIDDLE",1,0,0.075697211,0.143426295,0.103585657,653.7,655,655.6
"34","Dtype 1 Dnum 111 Snum 841","WATERTOWN-MAYER MIDDLE",1,0,0.053571429,0.098214286,0.25,654.2,647.5,657
"37","Dtype 1 Dnum 112 Snum 61","CHASKA MIDDLE SCHOOL EAST",1,0,0.085427136,0.085427136,0.105527638,656.4,655.9,660.1
"40","Dtype 1 Dnum 112 Snum 62","CHASKA MIDDLE SCHOOL WEST",1,0,0.111111111,0.102222222,0.137777778,659.1,657.5,659.8
"43","Dtype 1 Dnum 112 Snum 63","PIONEER RIDGE MIDDLE SCHOOL",1,0,0.104545455,0.122727273,0.15,NA,NA,659.5
"44","Dtype 1 Dnum 113 Snum 10","W.H.A. ELEMENTARY",0,0,0.161290323,0.161290323,0.467741935,NA,651.7,653.8
"46","Dtype 1 Dnum 115 Snum 20","CASS LAKE-BENA MIDDLE SCHOOL",0,0,0.92,0.266666667,0.786666667,649.6,650.4,651.7
"49","Dtype 1 Dnum 116 Snum 10","PILLAGER ELEMENTARY",0,0,0.01754386,0.175438596,0.50877193,645,650.4,649.7
"52","Dtype 1 Dnum 118 Snum 10","REMER ELEMENTARY",0,0,0.138888889,0.222222222,0.638888889,663.6,663,663.7
"55","Dtype 1 Dnum 12 Snum 166","CENTENNIAL MIDDLE",1,0,0.086,0.144,0.182,656.5,655,658.8
"58","Dtype 1 Dnum 129 Snum 30","MONTEVIDEO MIDDLE",1,0,0.076923077,0.120879121,0.43956044,648.2,648.1,655.3
"61","Dtype 1 Dnum 13 Snum 17","CENTRAL MIDDLE",1,0,0.621621622,0.151351351,0.724324324,648.2,642.6,645.4
"64","Dtype 1 Dnum 138 Snum 20","NORTH BRANCH MIDDLE",1,0,0.035433071,0.122047244,0.307086614,656,653.5,654.4
"67","Dtype 1 Dnum 139 Snum 10","C.E. JACOBSON ELEMENTARY",1,0,0.032258065,0.080645161,0.370967742,651.7,650.8,654.4
"70","Dtype 1 Dnum 14 Snum 23","FRIDLEY MIDDLE",1,0,0.295454545,0.142045455,0.477272727,652.2,654.3,656.1
"73","Dtype 1 Dnum 146 Snum 10","BARNESVILLE ELEMENTARY",0,0,0.028169014,0.098591549,0.211267606,652,658.2,655
"76","Dtype 1 Dnum 15 Snum 123","ST. FRANCIS MIDDLE",1,0,0.054830287,0.091383812,0.253263708,653.5,652.1,657.1
"79","Dtype 1 Dnum 150 Snum 10","HAWLEY ELEMENTARY",0,0,0.015873016,0.158730159,0.26984127,652,653.4,659.5
"82","Dtype 1 Dnum 152 Snum 380","HORIZON MIDDLE SCHOOL",1,0,0.151098901,0.137362637,0.266483516,657.4,654.4,654.5
"85","Dtype 1 Dnum 16 Snum 777","LEARNING ALTERNATIVES COMMUNITY SCH",1,0,0.2,0.1,0.2,NA,NA,659.7
"86","Dtype 1 Dnum 16 Snum 92","WESTWOOD MIDDLE",1,0,0.296296296,0.157407407,0.351851852,653.4,652.2,656.1
"89","Dtype 1 Dnum 162 Snum 10","BAGLEY ELEMENTARY",0,0,0.373134328,0.179104478,0.597014925,645.8,650.5,651.2
"92","Dtype 1 Dnum 166 Snum 40","COOK COUNTY MIDDLE",0,0,0.162790698,0.162790698,0.279069767,653.4,651.7,658
"95","Dtype 1 Dnum 173 Snum 10","MOUNTAIN LAKE ELEMENTARY",0,0,0.2,0.257142857,0.371428571,648.6,652.7,652.6
"98","Dtype 1 Dnum 177 Snum 60","WINDOM MIDDLE",1,0,0.161290323,0.161290323,0.435483871,658.2,657.8,656.8
"101","Dtype 1 Dnum 181 Snum 22","FORESTVIEW MIDDLE",1,0,0.074561404,0.171052632,0.460526316,653.9,651.9,653.1
"104","Dtype 1 Dnum 182 Snum 6","CUYUNA RANGE ELEMENTARY",0,0,0.0375,0.1125,0.5625,647,645.2,652.5
"107","Dtype 1 Dnum 186 Snum 15","PEQUOT LAKES MIDDLE",0,0,0.025210084,0.109243697,0.344537815,649.8,654.5,656.1
"110","Dtype 1 Dnum 191 Snum 482","GIDEON POND ELEMENTARY",1,0,0.310344828,0.068965517,0.344827586,654.8,661.5,660.3
"113","Dtype 1 Dnum 191 Snum 483","EDWARD NEILL ELEMENTARY",1,0,0.510638298,0.191489362,0.617021277,649.6,650.7,649.1
"116","Dtype 1 Dnum 191 Snum 484","M.W. SAVAGE ELEMENTARY",1,0,0.281690141,0.070422535,0.323943662,657.5,659.8,660.9
"119","Dtype 1 Dnum 191 Snum 485","SIOUX TRAIL ELEMENTARY",1,0,0.306122449,0.142857143,0.306122449,654.5,650.9,659.8
"122","Dtype 1 Dnum 191 Snum 486","VISTA VIEW ELEMENTARY",1,0,0.185185185,0.12962963,0.203703704,652,657,659.8
"125","Dtype 1 Dnum 191 Snum 487","WILLIAM BYRNE ELEMENTARY",1,0,0.303571429,0.089285714,0.303571429,658,654.4,658.8
"128","Dtype 1 Dnum 191 Snum 488","RAHN ELEMENTARY",1,0,0.275,0.125,0.2,659.4,659.1,660.2
"131","Dtype 1 Dnum 191 Snum 489","SKY OAKS ELEMENTARY",1,0,0.365079365,0.126984127,0.349206349,653.6,655.9,658.5
"134","Dtype 1 Dnum 191 Snum 490","HIDDEN VALLEY ELEMENTARY",1,0,0.386666667,0.053333333,0.386666667,652.3,653.6,656.8
"137","Dtype 1 Dnum 191 Snum 491","HARRIET BISHOP ELEMENTARY",1,0,0.068965517,0.08045977,0.137931034,657.2,659.2,662.5
"140","Dtype 1 Dnum 192 Snum 30","LEVI P. DODGE MIDDLE SCHOOL",1,0,0.091269841,0.079365079,0.150793651,NA,NA,658
"141","Dtype 1 Dnum 192 Snum 60","ROBERT BOECKMAN MIDDLE SCHOOL",1,0,0.114893617,0.10212766,0.153191489,653.4,654.4,660
"144","Dtype 1 Dnum 194 Snum 104","KENWOOD TRAIL MIDDLE SCHOOL",1,0,0.1003861,0.108108108,0.138996139,653.4,656.1,657.3
"147","Dtype 1 Dnum 194 Snum 105","CENTURY MIDDLE SCHOOL",1,0,0.086956522,0.143812709,0.050167224,655.2,656.8,658.4
"150","Dtype 1 Dnum 194 Snum 89","MCGUIRE MIDDLE",1,0,0.128289474,0.138157895,0.144736842,655.6,657.2,659.5
"153","Dtype 1 Dnum 195 Snum 10","RANDOLPH ELEMENTARY",0,0,0.024390244,0.073170732,0.195121951,653.3,657.9,661.4
"156","Dtype 1 Dnum 196 Snum 25","DAKOTA HILLS MIDDLE",1,0,0.167567568,0.097297297,0.094594595,660.2,659.4,664.4
"159","Dtype 1 Dnum 196 Snum 32","BLACK HAWK MIDDLE",1,0,0.301115242,0.118959108,0.185873606,656.7,656.9,659
"162","Dtype 1 Dnum 196 Snum 39","ROSEMOUNT MIDDLE",1,0,0.153424658,0.164383562,0.106849315,655.9,657.1,661.6
"165","Dtype 1 Dnum 196 Snum 86","FALCON RIDGE MIDDLE",1,0,0.212707182,0.121546961,0.138121547,656.5,656.9,660.7
"168","Dtype 1 Dnum 196 Snum 93","SCOTT HIGHLANDS MIDDLE",1,0,0.256302521,0.147058824,0.218487395,653.6,653.2,656.9
"171","Dtype 1 Dnum 196 Snum 98","VALLEY MIDDLE",1,0,0.3125,0.177083333,0.302083333,652.6,651.7,654.8
"174","Dtype 1 Dnum 197 Snum 52","FRIENDLY HILLS MIDDLE",1,0,0.340740741,0.125925926,0.4,654.3,653.7,653.9
"177","Dtype 1 Dnum 197 Snum 54","HERITAGE MIDDLE",1,0,0.454545455,0.13986014,0.48951049,653.8,648.4,651
"180","Dtype 1 Dnum 199 Snum 27","INVER GROVE HEIGHTS MIDDLE",1,0,0.218954248,0.091503268,0.287581699,650.8,653.5,653.9
"183","Dtype 1 Dnum 2 Snum 1","HILL CITY ELEMENTARY",0,0,0,0,0.315789474,657.1,658.2,658.3
"186","Dtype 1 Dnum 200 Snum 130","HASTINGS MIDDLE SCHOOL",1,0,0.050847458,0.096045198,0.194915254,652,654.3,656.5
"189","Dtype 1 Dnum 203 Snum 3","HAYFIELD ELEMENTARY",0,0,0.041666667,0.083333333,0.270833333,652.2,655.1,661.3
"192","Dtype 1 Dnum 204 Snum 40","KASSON-MANTORVILLE MIDDLE SCHOOL",1,0,0.059459459,0.059459459,0.183783784,NA,NA,656.6
"193","Dtype 1 Dnum 206 Snum 110","CARLOS ELEMENTARY",1,0,0.045454545,0.272727273,0.5,657.2,661,657.3
"196","Dtype 1 Dnum 206 Snum 120","GARFIELD ELEMENTARY",1,0,0,0,0.166666667,657.1,657.1,665.1
"199","Dtype 1 Dnum 206 Snum 130","LINCOLN ELEMENTARY",1,0,0.042253521,0.197183099,0.225352113,659.9,661.7,658.6
"202","Dtype 1 Dnum 206 Snum 140","MILTONA ELEMENTARY",1,0,0,0,0.272727273,651.3,654.5,658.9
"205","Dtype 1 Dnum 206 Snum 150","WOODLAND ELEMENTARY SCHOOL",1,0,0.083333333,0.291666667,0.458333333,655.9,653.5,656.4
"208","Dtype 1 Dnum 206 Snum 160","VOYAGER ELEMENTARY",1,0,0,0.117647059,0.308823529,658.9,660.2,655.8
"211","Dtype 1 Dnum 207 Snum 1","BRANDON ELEMENTARY",0,0,0.105263158,0.105263158,0.473684211,658.6,662.8,660
"214","Dtype 1 Dnum 2071 Snum 10","LK CRYSTAL WELCOME MEMORIAL EL.",0,0,0.03125,0.15625,0.390625,655.3,657.6,655.7
"217","Dtype 1 Dnum 208 Snum 1","EVANSVILLE ELEMENTARY",0,0,0,0.066666667,0.6,NA,657.2,663.2
"219","Dtype 1 Dnum 2125 Snum 2","TRITON MIDDLE SCHOOL",1,0,0.180555556,0.069444444,0.361111111,651.2,654.5,653.8
"222","Dtype 1 Dnum 213 Snum 10","OSAKIS ELEMENTARY",0,0,0.049180328,0.163934426,0.442622951,657.9,659.9,658.6
"225","Dtype 1 Dnum 2134 Snum 10","UNITED SOUTH CENTRAL ELEMENTARY",0,0,0.142857143,0.071428571,0.517857143,NA,648.5,650.5
"227","Dtype 1 Dnum 2135 Snum 30","MAPLE RIVER MIDDLE SCHOOL",0,0,0.071428571,0.107142857,0.44047619,655.8,659.6,658.7
"230","Dtype 1 Dnum 2137 Snum 20","KINGSLAND MIDDLE",0,0,0,0,0.418181818,654.1,653.5,658.7
"233","Dtype 1 Dnum 2142 Snum 10","BABBITT ELEMENTARY",1,0,0,0.24137931,0.689655172,652.9,651.6,650.1
"236","Dtype 1 Dnum 2142 Snum 100","COTTON ELEMENTARY",1,0,0.076923077,0,0.384615385,NA,649.7,654.9
"238","Dtype 1 Dnum 2142 Snum 114","COOK ELEMENTARY",1,0,0.029411765,0.147058824,0.411764706,653.5,645.4,653.3
"241","Dtype 1 Dnum 2142 Snum 142","ORR ELEMENTARY",1,0,0.25,0.25,0.5625,650.9,642.6,656
"244","Dtype 1 Dnum 2142 Snum 16","ALBROOK ELEMENTARY",1,0,0.214285714,0.142857143,0.571428571,647.7,647.9,655.4
"247","Dtype 1 Dnum 2142 Snum 20","TOWER-SOUDAN ELEMENTARY",1,0,0.357142857,0.214285714,0.571428571,650,648,653.9
"250","Dtype 1 Dnum 2142 Snum 96","CHERRY ELEMENTARY",1,0,0.096774194,0.064516129,0.387096774,654.2,652.6,662.3
"253","Dtype 1 Dnum 2143 Snum 10","MORRISTOWN ELEMENTARY",0,0,0.042253521,0.197183099,0.338028169,649.7,646.5,650.9
"256","Dtype 1 Dnum 2144 Snum 3","CHISAGO LAKES MIDDLE",1,0,0.046263345,0.081850534,0.24911032,657.3,658.1,659.2
"259","Dtype 1 Dnum 2149 Snum 60","MINNEWASKA AREA MIDDLE",0,0,0.041666667,0.208333333,0.430555556,655.8,655.6,656.4
"262","Dtype 1 Dnum 2154 Snum 20","NELLE SHEAN ELEMENTARY",1,0,0.023809524,0.083333333,0.369047619,652,649.1,650.9
"265","Dtype 1 Dnum 2155 Snum 2","WADENA-DEER CREEK ELEMENTARY",1,0,0.072463768,0.086956522,0.594202899,656,653.2,653.2
"268","Dtype 1 Dnum 2159 Snum 20","BUFFALO LAKE-HECTOR SECONDARY",0,0,0.083333333,0.166666667,0.375,654,650.2,646.5
"271","Dtype 1 Dnum 2164 Snum 1","DILWORTH ELEMENTARY",1,0,0.2,0.02,0.38,652.6,653.1,654.8
"274","Dtype 1 Dnum 2164 Snum 2","GLYNDON-FELTON ELEMENTARY",1,0,0.078947368,0.131578947,0.052631579,660.8,654.2,657.2
"277","Dtype 1 Dnum 2165 Snum 10","HINCKLEY ELEMENTARY",0,0,0.155172414,0.051724138,0.568965517,647.4,641.8,654.8
"280","Dtype 1 Dnum 2165 Snum 30","FINLAYSON ELEMENTARY",0,0,0.090909091,0.181818182,0.545454545,644.5,661.6,658.7
"283","Dtype 1 Dnum 2167 Snum 10","LAKEVIEW ELEMENTARY",0,0,0.034482759,0.034482759,0.379310345,655.7,654.1,649.4
"286","Dtype 1 Dnum 2168 Snum 10","NRHEG ELEMENTARY",0,0,0.014285714,0.114285714,0.4,648.1,650,655.6
"289","Dtype 1 Dnum 2169 Snum 10","MURRAY CO. CENTRAL ELEMENTARY",0,0,0.056603774,0.150943396,0.358490566,652.7,653.5,654.7
"292","Dtype 1 Dnum 2170 Snum 50","MOTLEY-STAPLES MIDDLE",1,0,0.047619048,0.142857143,0.583333333,650.1,647.1,652.4
"295","Dtype 1 Dnum 2171 Snum 15","KITTSON CENTRAL ELEMENTARY",0,0,0.210526316,0.210526316,0.315789474,659.8,661.1,658.1
"298","Dtype 1 Dnum 2172 Snum 40","KENYON-WANAMINGO MIDDLE",0,0,0.063492063,0.047619048,0.253968254,653.2,649.3,660.6
"301","Dtype 1 Dnum 2174 Snum 10","PINE RIVER-BACKUS ELEMENTARY",0,0,0.083333333,0.3,0.716666667,651.8,648.5,649.8
"304","Dtype 1 Dnum 2176 Snum 10","WARREN ELEMENTARY",0,0,0.0625,0.09375,0.34375,654.4,653.4,654.5
"307","Dtype 1 Dnum 2180 Snum 10","M.A.C.C.R.A.Y. EAST ELEMENTARY",0,0,0.133333333,0.433333333,0.433333333,656.4,657,655.2
"310","Dtype 1 Dnum 2180 Snum 2","M.A.C.C.R.A.Y. WEST ELEMENTARY",0,0,0,0.214285714,0.464285714,653.4,663.9,658.9
"313","Dtype 1 Dnum 2184 Snum 3","LUVERNE MIDDLE",1,0,0.076086957,0.130434783,0.402173913,653.9,650.8,653.4
"316","Dtype 1 Dnum 2190 Snum 10","BERT RANEY ELEMENTARY",0,0,0.152173913,0.260869565,0.304347826,655.1,653.8,652.2
"319","Dtype 1 Dnum 2198 Snum 30","FILLMORE CENTRAL MIDDLE",0,0,0.027777778,0.055555556,0.25,644.6,649.1,657.5
"322","Dtype 1 Dnum 22 Snum 4","DETROIT LAKES MIDDLE",1,0,0.180904523,0.190954774,0.417085427,651.5,651.4,649.6
"325","Dtype 1 Dnum 2215 Snum 10","NORMAN COUNTY EAST ELEMENTARY",0,0,0.12,0.12,0.68,650.7,660.5,659.3
"328","Dtype 1 Dnum 227 Snum 2","CHATFIELD ELEMENTARY SCHOOL",0,0,0.039473684,0.065789474,0.184210526,653.8,651.5,652.9
"331","Dtype 1 Dnum 229 Snum 10","LANESBORO ELEMENTARY",0,0,0,0.047619048,0.333333333,656.6,658.1,658.8
"334","Dtype 1 Dnum 23 Snum 10","FRAZEE ELEMENTARY",0,0,0.103896104,0.207792208,0.61038961,654.3,660.3,667.2
"337","Dtype 1 Dnum 2310 Snum 1","SIBLEY EAST-ARLINGTON ELEMENTARY",0,0,0.097560976,0.146341463,0.317073171,651.8,654,654.9
"340","Dtype 1 Dnum 2310 Snum 10","SIBLEY EAST-GAYLORD ELEMENTARY",0,0,0.189189189,0.108108108,0.324324324,650,650.9,658.6
"343","Dtype 1 Dnum 2311 Snum 10","CLEARBROOK-GONVICK ELEMENTARY",0,0,0.179487179,0.128205128,0.461538462,649.7,645,654.3
"346","Dtype 1 Dnum 2342 Snum 4","WCA 5-6 ELEMENTARY",0,0,0.020833333,0.104166667,0.416666667,NA,NA,658.2
"347","Dtype 1 Dnum 2358 Snum 10","KARLSTAD ELEMENTARY",0,0,0,0.181818182,0.454545455,652.5,652.3,654.4
"350","Dtype 1 Dnum 2364 Snum 1","BELGRADE-BROOTEN-ELROSA ELEMENTARY",0,0,0.020833333,0.145833333,0.5,666.6,657.2,661.7
"353","Dtype 1 Dnum 2365 Snum 2","G.F.W. MID.",0,0,0.224489796,0.102040816,0.306122449,652,649.4,653.5
"356","Dtype 1 Dnum 238 Snum 1","MABEL-CANTON ELEMENTARY",0,0,0,0,0.294117647,657.2,656.9,657
"359","Dtype 1 Dnum 239 Snum 3","RUSHFORD-PETERSON MIDDLE",0,0,0.022222222,0.133333333,0.488888889,652.8,654.9,660.9
"362","Dtype 1 Dnum 2396 Snum 150","ACGC ELEMENTARY GRADES 5 AND 6",0,0,0.016666667,0.133333333,0.483333333,652.3,647.5,655.4
"365","Dtype 1 Dnum 2397 Snum 20","LESUEUR-HENDERSON MIDDLE/HIGH SCHL.",1,0,0.186666667,0.093333333,0.4,648.9,647,651.1
"368","Dtype 1 Dnum 241 Snum 110","HALVERSON ELEMENTARY",1,0,0.272727273,0.181818182,0.5,653.4,659.1,657.4
"371","Dtype 1 Dnum 241 Snum 120","HAWTHORNE ELEMENTARY",1,0,0.230769231,0.134615385,0.461538462,651,654.2,653.6
"374","Dtype 1 Dnum 241 Snum 130","LAKEVIEW ELEMENTARY",1,0,0.138461538,0.169230769,0.415384615,650.9,654.3,654.5
"377","Dtype 1 Dnum 241 Snum 140","SIBLEY ELEMENTARY",1,0,0.134615385,0.076923077,0.519230769,659.5,655.9,655.8
"380","Dtype 1 Dnum 242 Snum 2","ALDEN-CONGER ELEMENTARY",0,0,0.027777778,0.055555556,0.416666667,648.2,641.6,653.3
"383","Dtype 1 Dnum 2448 Snum 15","TRIMONT ELEMENTARY",0,0,0,0.132075472,0.377358491,654.1,651.2,657
"386","Dtype 1 Dnum 252 Snum 2","CANNON FALLS SEC.",1,0,0.077777778,0.088888889,0.222222222,650.8,654.9,656.4
"389","Dtype 1 Dnum 2527 Snum 1","NORMAN COUNTY  WEST ELEMENTARY",0,0,0.238095238,0.19047619,0.571428571,651.6,651.2,657.5
"392","Dtype 1 Dnum 253 Snum 1","GOODHUE ELEMENTARY",0,0,0.023255814,0.046511628,0.279069767,651.3,654.3,649.5
"395","Dtype 1 Dnum 2534 Snum 15","BOLD-BIRD ISLAND ELEMENTARY",0,0,0.102040816,0.06122449,0.387755102,650.7,654.2,654.3
"398","Dtype 1 Dnum 2536 Snum 15","GRANADA HUNTLEY EAST CHAIN ELEM.",0,0,0,0.125,0.5,658.5,NA,664
"400","Dtype 1 Dnum 255 Snum 15","PINE ISLAND MIDDLE",0,0,0.05952381,0.107142857,0.273809524,651.2,661.1,654
"403","Dtype 1 Dnum 256 Snum 109","TWIN BLUFF MIDDLE SCHOOL",1,0,0.129353234,0.104477612,0.293532338,654,652.7,656.7
"406","Dtype 1 Dnum 2580 Snum 20","EAST CENTRAL MIDDLE SECONDARY",0,0,0.157894737,0.175438596,0.543859649,646.4,643.3,648.7
"409","Dtype 1 Dnum 2609 Snum 10","WIN-E-MAC ELEMENTARY",0,0,0,0.166666667,0.472222222,659.9,661.6,662.9
"412","Dtype 1 Dnum 261 Snum 10","ASHBY ELEMENTARY",0,0,0.047619048,0.238095238,0.428571429,650.6,655.1,647.5
"415","Dtype 1 Dnum 264 Snum 1","HERMAN ELEMENTARY",0,0,0,1,1,655.5,NA,NA
"416","Dtype 1 Dnum 2683 Snum 21","GREENBUSH-MIDDLE RIVER JUNIOR HIGH",0,0,0.026315789,0.157894737,0.526315789,652.8,653.9,656.8
"419","Dtype 1 Dnum 2687 Snum 86","HOWARD LAKE MIDDLE",0,0,0.036363636,0.127272727,0.4,658.1,653.6,654.8
"422","Dtype 1 Dnum 2689 Snum 7","PIPESTONE MIDDLE",1,0,0.1125,0.1125,0.425,657.2,653.2,658.3
"425","Dtype 1 Dnum 270 Snum 561","ALICE SMITH ELEMENTARY",1,0,0.410958904,0.150684932,0.301369863,655.8,658.5,656.7
"428","Dtype 1 Dnum 270 Snum 563","GLEN LAKE ELEMENTARY",1,0,0.214285714,0.119047619,0.202380952,663.8,662.2,660.5
"431","Dtype 1 Dnum 270 Snum 566","EISENHOWER ELEMENTARY",1,0,0.420454545,0.079545455,0.477272727,660,651,654.1
"434","Dtype 1 Dnum 270 Snum 567","L.H. TANGLEN ELEMENTARY",1,0,0.356321839,0.068965517,0.367816092,654.7,655.9,658.7
"437","Dtype 1 Dnum 270 Snum 569","GATEWOOD ELEMENTARY",1,0,0.285714286,0.142857143,0.363636364,656.8,660.9,659
"440","Dtype 1 Dnum 270 Snum 570","MEADOWBROOK ELEMENTARY",1,0,0.333333333,0.055555556,0.222222222,661,661,661.5
