"","schoolid","schoolName","urban","charter","schPctnonw","schPctsped","schPctfree","MathAvgScore.0","MathAvgScore.1","MathAvgScore.2"
"443","Dtype 1 Dnum 271 Snum 13","OAK GROVE MIDDLE",1,0,0.345833333,0.120833333,0.308333333,656.1,656.2,658
"446","Dtype 1 Dnum 271 Snum 345","VALLEY VIEW MIDDLE",1,0,0.625,0.14,0.63,645.5,645.8,646.2
"449","Dtype 1 Dnum 271 Snum 346","OLSON MIDDLE",1,0,0.288702929,0.154811715,0.259414226,660.3,660.6,660.6
"452","Dtype 1 Dnum 2711 Snum 10","MESABI EAST ELEMENTARY",0,0,0.042253521,0.183098592,0.450704225,654.9,652.8,649.3
"455","Dtype 1 Dnum 272 Snum 880","OAK POINT INTERMEDIATE ELEMENTARY.",1,0,0.203957382,0.106544901,0.149162861,659.1,658.7,660.3
"458","Dtype 1 Dnum 273 Snum 19","SOUTH VIEW MIDDLE",1,0,0.129692833,0.119453925,0.075085324,660.7,656.9,660.6
"461","Dtype 1 Dnum 273 Snum 20","VALLEY VIEW MIDDLE",1,0,0.1197411,0.103559871,0.051779935,661.8,663.1,663
"464","Dtype 1 Dnum 2752 Snum 50","FIVE LAKES ELELMENTARY",1,0,0.062992126,0.094488189,0.417322835,653.7,654.8,654.3
"467","Dtype 1 Dnum 2753 Snum 12","LONG PRAIRIE MIDDLE",1,0,0.293103448,0.086206897,0.706896552,645.4,644.9,647.9
"470","Dtype 1 Dnum 2754 Snum 2","CEDAR MOUNTAIN SECONDARY",0,0,0.111111111,0.055555556,0.527777778,NA,NA,653.4
"471","Dtype 1 Dnum 2759 Snum 10","EAGLE VALLEY ELEMENTARY",0,0,0,0,0.692307692,655.2,656,661.2
"474","Dtype 1 Dnum 276 Snum 175","MINNETONKA WEST MIDDLE",1,0,0.084805654,0.109540636,0.074204947,664.6,665.2,664.2
"477","Dtype 1 Dnum 276 Snum 75","MINNETONKA EAST MIDDLE",1,0,0.112676056,0.088028169,0.102112676,659.8,661.2,663.7
"480","Dtype 1 Dnum 277 Snum 63","GRANDVIEW MIDDLE SCHOOL",0,0,0.056962025,0.14556962,0.208860759,661.9,659.7,662.9
"483","Dtype 1 Dnum 278 Snum 31","ORONO MIDDLE",1,0,0.070484581,0.079295154,0.070484581,660.5,658.5,657.8
"486","Dtype 1 Dnum 279 Snum 665","WOODLAND ELEMENTARY",0,0,0.403361345,0.084033613,0.151260504,653.4,655.5,663.5
"489","Dtype 1 Dnum 279 Snum 668","EDINBROOK ELEMENTARY",0,0,0.590909091,0.083333333,0.356060606,652.6,649.2,652.5
"492","Dtype 1 Dnum 279 Snum 669","RUSH CREEK ELEMENTARY",0,0,0.117647059,0.102941176,0.022058824,661.9,658.6,663.9
"495","Dtype 1 Dnum 279 Snum 670","BASSWOOD ELEMENTARY",0,0,0.131147541,0.098360656,0.106557377,658.6,659.7,663
"498","Dtype 1 Dnum 279 Snum 671","BIRCH GROVE SCHOOL FOR THE ARTS",0,0,0.813559322,0.101694915,0.661016949,643.9,642.6,647.3
"501","Dtype 1 Dnum 279 Snum 672","CREST VIEW ELEMENTARY",0,0,0.771428571,0.171428571,0.714285714,644,644.1,644.3
"504","Dtype 1 Dnum 279 Snum 673","WEAVER LAKE SCIENCE MATH & TECH SCH",0,0,0.466666667,0.16,0.32,650.1,654.1,660.9
"507","Dtype 1 Dnum 279 Snum 675","GARDEN CITY ELEMENTARY",0,0,0.774193548,0.225806452,0.677419355,648.9,645.5,647.8
"510","Dtype 1 Dnum 279 Snum 678","PALMER LAKE ELEMENTARY",0,0,0.755555556,0.1,0.644444444,646.9,649,647.8
"513","Dtype 1 Dnum 279 Snum 679","PARK BROOK ELEMENTARY",0,0,0.829268293,0.12195122,0.780487805,647.4,644,647.1
"516","Dtype 1 Dnum 279 Snum 681","ZANEWOOD COMMUNITY SCHOOL",0,0,0.90625,0.1875,0.875,645.6,645.5,649.6
"519","Dtype 1 Dnum 279 Snum 684","ELM CREEK ELEMENTARY",0,0,0.151898734,0.101265823,0.253164557,656.4,648.6,655.9
"522","Dtype 1 Dnum 279 Snum 685","RICE LAKE ELEMENTARY",0,0,0.277777778,0.055555556,0.277777778,649.8,653.5,649.6
"525","Dtype 1 Dnum 279 Snum 689","FERNBROOK ELEMENTARY",0,0,0.217391304,0.123188406,0.210144928,660.9,663.2,661.3
"528","Dtype 1 Dnum 279 Snum 696","OAK VIEW ELEMENTARY",0,0,0.413043478,0.18115942,0.369565217,656.1,649.1,652.8
"531","Dtype 1 Dnum 279 Snum 86","NORTH VIEW IB WORLD SCHOOL",0,0,0.782608696,0.173913043,0.565217391,NA,654.2,651.7
"533","Dtype 1 Dnum 280 Snum 37","RICHFIELD MIDDLE",1,0,0.632850242,0.101449275,0.560386473,647.1,644.7,649.6
"536","Dtype 1 Dnum 2805 Snum 20","ZUMBROTA-MAZEPPA MIDDLE",1,0,0.111111111,0.061728395,0.222222222,663,662,663.2
"539","Dtype 1 Dnum 281 Snum 40","PLYMOUTH MIDDLE",1,0,0.3325,0.135,0.34,653.2,652.5,653.8
"542","Dtype 1 Dnum 281 Snum 43","ROBBINSDALE MIDDLE",1,0,0.502525253,0.141414141,0.51010101,649.3,647.7,649.1
"545","Dtype 1 Dnum 282 Snum 50","ST. ANTHONY MIDDLE",1,0,0.275362319,0.094202899,0.195652174,656.6,657.8,658.6
"548","Dtype 1 Dnum 283 Snum 747","CEDAR MANOR ELEMENTARY",1,0,0.475,0.125,0.425,652.9,649.9,654
"551","Dtype 1 Dnum 283 Snum 755","SUSAN LINDGREN ELEMENTARY",1,0,0.336734694,0.204081633,0.306122449,651.2,650.2,653.8
"554","Dtype 1 Dnum 283 Snum 758","PARK SPANISH IMMERSION ELEMENTARY",1,0,0.28,0.04,0.106666667,667,664.3,665.3
"557","Dtype 1 Dnum 2835 Snum 1","JANESVILLE-WALDORF-PEMBERTON INT.",0,0,0.025,0.1,0.325,649.7,653.7,652
"560","Dtype 1 Dnum 284 Snum 51","WAYZATA WEST MIDDLE",1,0,0.11965812,0.05982906,0.098290598,661.9,665.7,662.4
"563","Dtype 1 Dnum 284 Snum 52","WAYZATA EAST MIDDLE",1,0,0.224409449,0.070866142,0.137795276,661.6,661.5,663
"566","Dtype 1 Dnum 284 Snum 53","WAYZATA CENTRAL MIDDLE",1,0,0.208333333,0.0625,0.100694444,663.3,663.8,663.7
"569","Dtype 1 Dnum 2853 Snum 35","LAC QUI PARLE VALLEY MIDDLE SCHOOL",0,0,0.155172414,0.137931034,0.396551724,652,652.4,656.9
"572","Dtype 1 Dnum 2854 Snum 20","BORUP ELEMENTARY",0,0,0.029411765,0.117647059,0.264705882,656.3,652.2,660.9
"575","Dtype 1 Dnum 2856 Snum 20","ARGYLE ELEMENTARY",0,0,0,0,0.208333333,649.7,662.2,659
"578","Dtype 1 Dnum 2859 Snum 30","LAKESIDE ELEMENTARY",1,0,0.1953125,0.1171875,0.390625,651,658.2,654.9
"581","Dtype 1 Dnum 286 Snum 480","EARLE BROWN ELEMENTARY",1,0,0.744360902,0.187969925,0.751879699,643.9,640.8,646.5
"584","Dtype 1 Dnum 2860 Snum 23","BLUE EARTH AREA MIDDLE",1,0,0.10989011,0.120879121,0.43956044,655.6,650.4,654.2
"587","Dtype 1 Dnum 2884 Snum 20","RED ROCK CENTRAL SECONDARY",0,0,0,0.055555556,0.444444444,650.5,656,658.4
"590","Dtype 1 Dnum 2886 Snum 100","GLENVILLE EMMONS ELEMENTARY",0,0,0,0.130434783,0.347826087,650.8,650.3,658.7
"593","Dtype 1 Dnum 2888 Snum 1","CLINTON-GRACEVILLE-BEARDSLEY EL.",0,0,0,0.052631579,0.210526316,656,657.4,657.7
"596","Dtype 1 Dnum 2889 Snum 10","LAKE PARK AUDUBON ELEMENTARY",0,0,0.023255814,0.093023256,0.441860465,654.8,653.9,653.9
"599","Dtype 1 Dnum 2890 Snum 1","RENVILLE COUNTY WEST ELEMENTARY",0,0,0.090909091,0.121212121,0.303030303,653.5,653.3,653.1
"602","Dtype 1 Dnum 2895 Snum 115","JACKSON COUNTY CENTRAL MIDDLE",1,0,0.038461538,0.205128205,0.358974359,654.7,656.2,657.7
"605","Dtype 1 Dnum 2897 Snum 3","REDWOOD VALLEY MIDDLE",0,0,0.258823529,0.129411765,0.329411765,652.3,653.3,652.8
"608","Dtype 1 Dnum 2898 Snum 15","WALNUT GROVE ELEMENTARY",0,0,0.130434783,0.130434783,0.565217391,NA,NA,668
"609","Dtype 1 Dnum 2899 Snum 20","PLAINVIEW-ELGIN-MILLVILLE 4-6",1,0,0.075471698,0.122641509,0.254716981,656.8,662.7,662.2
"612","Dtype 1 Dnum 2902 Snum 200","RTR MIDDLE SCHOOL",0,0,0.090909091,0.151515152,0.424242424,657.5,658.7,660.2
"615","Dtype 1 Dnum 2903 Snum 10","KNOLL ELEMENTARY",0,0,0.027777778,0.111111111,0.388888889,NA,NA,653.2
"616","Dtype 1 Dnum 2904 Snum 2","TRACY ELEMENTARY",0,0,0.093023256,0.139534884,0.558139535,NA,NA,661
"617","Dtype 1 Dnum 294 Snum 10","HOUSTON ELEMENTARY",0,0,0.064516129,0.129032258,0.35483871,662.4,657.6,666.1
"620","Dtype 1 Dnum 294 Snum 12","MINNESOTA VIRTUAL ACADEMY",0,0,0.074074074,0.037037037,0.185185185,648.5,646.9,651
"623","Dtype 1 Dnum 297 Snum 10","SPRING GROVE ELEMENTARY",0,0,0,0.0625,0.5625,653.9,656,656.5
"626","Dtype 1 Dnum 299 Snum 20","CALEDONIA MIDDLE",1,0,0.025641026,0.128205128,0.384615385,653.5,651.5,649.2
"629","Dtype 1 Dnum 300 Snum 50","LACRESCENT-HOKAH MIDDLE SCHOOL",0,0,0.034482759,0.137931034,0.206896552,650.5,653.4,650.1
"632","Dtype 1 Dnum 306 Snum 10","LAPORTE ELEMENTARY",0,0,0.142857143,0.357142857,0.785714286,657.5,661.1,656.5
"635","Dtype 1 Dnum 308 Snum 10","NEVIS ELEMENTARY",0,0,0.073170732,0,0.609756098,654.2,661,658.8
"638","Dtype 1 Dnum 309 Snum 80","PARK RAPIDS AREA CENTURY MIDDLE",1,0,0.108910891,0.227722772,0.504950495,649.2,649.1,650.3
"641","Dtype 1 Dnum 31 Snum 15","BEMIDJI MIDDLE",1,0,0.238227147,0.099722992,0.542936288,648.6,646.4,654
"644","Dtype 1 Dnum 314 Snum 2","BRAHAM ELEMENTARY",0,0,0.023809524,0.095238095,0.476190476,652.9,650.3,654.5
"647","Dtype 1 Dnum 316 Snum 210","CONNOR-JASPER MIDDLE",0,0,0.094594595,0.054054054,0.486486486,649.2,656.3,656.7
"650","Dtype 1 Dnum 317 Snum 4","KING ELEMENTARY",0,0,0.403508772,0.192982456,0.596491228,653.7,658.8,655.8
"653","Dtype 1 Dnum 318 Snum 115","BIGFORK ELEMENTARY",1,0,0.2,0.133333333,0.333333333,652.6,651.4,654.3
"656","Dtype 1 Dnum 318 Snum 370","ROBERT J. ELKINGTON MIDDLE SCHOOL",1,0,0.077490775,0.110701107,0.391143911,650.2,652.5,653.1
"659","Dtype 1 Dnum 319 Snum 20","KEEWATIN ELEMENTARY",0,0,0.02,0.08,0.58,649.9,651.8,645.3
"662","Dtype 1 Dnum 32 Snum 10","BLACKDUCK ELEMENTARY",0,0,0.130434783,0.173913043,0.52173913,650.7,658.7,658.1
"665","Dtype 1 Dnum 330 Snum 10","HERON LAKE-OKABENA ELEMENTARY",0,0,0.222222222,0.333333333,0.388888889,651,655.9,646.2
"668","Dtype 1 Dnum 332 Snum 30","TRAILVIEW ELEMENTARY",1,0,0.067226891,0.134453782,0.462184874,655.6,649.1,653.8
"671","Dtype 1 Dnum 333 Snum 10","OGILVIE ELEMENTARY",0,0,0,0.181818182,0.568181818,642.4,646.1,657.3
"674","Dtype 1 Dnum 345 Snum 20","NEW LONDON-SPICER MIDDLE",0,0,0.087912088,0.10989011,0.274725275,653.3,652.8,655.9
"677","Dtype 1 Dnum 347 Snum 301","WILLMAR MIDDLE SCHOOL",0,0,0.342205323,0.102661597,0.490494297,NA,NA,650.9
"678","Dtype 1 Dnum 356 Snum 10","LANCASTER ELEMENTARY",0,0,0.05,0.15,0.55,658.8,661.9,659.9
"681","Dtype 1 Dnum 36 Snum 10","KELLIHER ELEMENTARY",0,0,0.277777778,0.111111111,0.777777778,NA,NA,655.2
"682","Dtype 1 Dnum 361 Snum 7","FALLS ELEMENTARY",1,0,0.112359551,0.101123596,0.370786517,649.5,649.2,654.7
"685","Dtype 1 Dnum 362 Snum 20","LITTLEFORK-BIG FALLS ELEMENTARY",0,0,0.083333333,0.25,0.458333333,666.6,661.7,660.8
"688","Dtype 1 Dnum 363 Snum 80","NORTHOME ELEMENTARY",0,0,0.071428571,0.142857143,0.428571429,652,657.5,655.1
"691","Dtype 1 Dnum 363 Snum 90","INDUS ELEMENTARY",0,0,0.083333333,0.333333333,0.583333333,NA,649.6,651.3
"693","Dtype 1 Dnum 378 Snum 10","STEVENS ELEMENTARY",0,0,0.060606061,0.212121212,0.515151515,653.1,655.7,652.6
"696","Dtype 1 Dnum 38 Snum 20","PONEMAH ELEMENTARY",0,0,0,0.125,0.9375,633.8,639.4,640.8
"699","Dtype 1 Dnum 38 Snum 40","RED LAKE MIDDLE",0,0,0,0.119402985,0.910447761,636.2,636.4,635.7
"702","Dtype 1 Dnum 381 Snum 200","TWO HARBORS SECONDARY",1,0,0.036363636,0.072727273,0.236363636,650.3,650.2,658
"705","Dtype 1 Dnum 381 Snum 30","WILLIAM KELLEY ELEMENTARY",1,0,0.090909091,0.181818182,0.515151515,648.6,653.7,654.7
"708","Dtype 1 Dnum 390 Snum 224","LAKE OF THE WOODS ELEMENTARY",0,0,0.115384615,0.076923077,0.576923077,655.7,659.3,656.9
"711","Dtype 1 Dnum 391 Snum 10","CLEVELAND ELEMENTARY",0,0,0.035714286,0.107142857,0.357142857,652.3,650.7,657.4
"714","Dtype 1 Dnum 392 Snum 10","LECENTER ELEMENTARY",0,0,0.24,0.04,0.26,653.2,651.8,656
"717","Dtype 1 Dnum 394 Snum 10","MONTGOMERY-LONSDALE INT. ELEMENTARY",1,0,0.086419753,0.111111111,0.283950617,651.8,656.5,658.3
"720","Dtype 1 Dnum 4 Snum 10","MCGREGOR ELEMENTARY",0,0,0.142857143,0.19047619,0.952380952,657.4,655.1,649.3
"723","Dtype 1 Dnum 402 Snum 10","LINCOLN ELEMENTARY",0,0,0,0.25,0.625,648.4,661.8,666.2
"726","Dtype 1 Dnum 404 Snum 10","LAKE BENTON ELEMENTARY",0,0,0,0.166666667,0.666666667,656.8,650.8,NA
"728","Dtype 1 Dnum 413 Snum 6","MARSHALL MIDDLE SCHOOL",1,0,0.125925926,0.096296296,0.266666667,654.1,659.8,655.9
"731","Dtype 1 Dnum 414 Snum 1","MINNEOTA ELEMENTARY",0,0,0.083333333,0.208333333,0.458333333,639.1,648.1,651.5
"734","Dtype 1 Dnum 415 Snum 10","LYND ELEMENTARY",0,0,0.4,0.2,0.6,NA,NA,638.7
"735","Dtype 1 Dnum 423 Snum 20","HUTCHINSON MIDDLE",1,0,0.051813472,0.088082902,0.300518135,652.9,657.8,660.6
"738","Dtype 1 Dnum 424 Snum 10","LESTER PRAIRIE ELEMENTARY",0,0,0.1,0.2,0.433333333,651.8,653.4,658.5
"741","Dtype 1 Dnum 432 Snum 10","MAHNOMEN ELEMENTARY",0,0,0.578947368,0.131578947,0.605263158,649.3,647.8,649.7
"744","Dtype 1 Dnum 435 Snum 10","WAUBUN ELEMENTARY",0,0,0.789473684,0.140350877,0.561403509,645.4,641.5,646.4
"747","Dtype 1 Dnum 441 Snum 10","NEWFOLDEN ELEMENTARY",0,0,0,0.125,0.34375,648.3,651.4,656.4
"750","Dtype 1 Dnum 447 Snum 1","GRYGLA ELEMENTARY",0,0,0.066666667,0.066666667,0.533333333,645.2,653.8,657.1
"753","Dtype 1 Dnum 458 Snum 10","TRUMAN ELEMENTARY",0,0,0.041666667,0.083333333,0.5,647.9,647.4,660.9
"756","Dtype 1 Dnum 463 Snum 10","EDEN VALLEY ELEMENTARY",0,0,0.036363636,0.090909091,0.454545455,654.6,657.8,657.8
"759","Dtype 1 Dnum 465 Snum 30","LITCHFIELD MIDDLE",0,0,0.121428571,0.1,0.442857143,654.4,656.1,658.9
"762","Dtype 1 Dnum 466 Snum 4","DASSEL-COKATO MIDDLE",0,0,0.01183432,0.065088757,0.355029586,655.9,658.2,656.5
"765","Dtype 1 Dnum 47 Snum 9","SAUK RAPIDS-RICE MIDDLE SCHOOL",1,0,0.082142857,0.164285714,0.389285714,649.8,651,654
"768","Dtype 1 Dnum 473 Snum 10","ISLE ELEMENTARY",0,0,0.06122449,0.102040816,0.632653061,653.7,656.9,653.4
"771","Dtype 1 Dnum 477 Snum 20","PRINCETON MIDDLE",1,0,0.025641026,0.131868132,0.293040293,649.7,648.3,652.5
"774","Dtype 1 Dnum 480 Snum 10","ONAMIA ELEMENTARY",0,0,0.340425532,0.14893617,0.70212766,644.5,646.2,649.6
"777","Dtype 1 Dnum 482 Snum 200","COMMUNITY MIDDLE",1,0,0.035502959,0.100591716,0.449704142,647.6,646.1,650.1
"780","Dtype 1 Dnum 484 Snum 20","PIONEER ELEMENTARY",0,0,0.015151515,0.121212121,0.53030303,653.6,655.2,656.9
"783","Dtype 1 Dnum 485 Snum 10","ROYALTON ELEMENTARY",0,0,0,0.102941176,0.426470588,667.6,662.4,659.1
"786","Dtype 1 Dnum 486 Snum 10","SWANVILLE ELEMENTARY",0,0,0,0.148148148,0.703703704,649.7,648.5,650.3
"789","Dtype 1 Dnum 487 Snum 10","UPSALA ELEMENTARY",0,0,0,0.038461538,0.346153846,653.3,661,664
"792","Dtype 1 Dnum 492 Snum 150","AUSTIN AREA LEARNING CENTER",1,0,0.117647059,0,0.764705882,635.1,638.8,641.1
"795","Dtype 1 Dnum 492 Snum 300","ELLIS MIDDLE",1,0,0.241635688,0.085501859,0.449814126,652.2,651.4,655
"798","Dtype 1 Dnum 495 Snum 20","GRAND MEADOW MIDDLE",0,0,0.04,0.08,0.24,652.4,650.9,652.9
"801","Dtype 1 Dnum 497 Snum 20","LYLE SECONDARY",0,0,0.066666667,0.2,0.666666667,657,651.8,664.7
"804","Dtype 1 Dnum 499 Snum 15","LEROY ELEMENTARY",0,0,0,0.2,0.6,649.2,NA,652.1
"806","Dtype 1 Dnum 500 Snum 50","SOUTHLAND MIDDLE",0,0,0,0.135135135,0.297297297,654.9,655.7,656.9
"809","Dtype 1 Dnum 505 Snum 10","FULDA ELEMENTARY",0,0,0.052631579,0.157894737,0.684210526,647.3,654,651.3
"812","Dtype 1 Dnum 507 Snum 10","NICOLLET ELEMENTARY",0,0,0,0.19047619,0.285714286,651.9,661.1,661.5
"815","Dtype 1 Dnum 508 Snum 30","NORTH INTERMEDIATE ELEMENTARY",1,0,0.078947368,0.201754386,0.333333333,651.9,654.6,656.9
"818","Dtype 1 Dnum 51 Snum 30","FOLEY INTERMEDIATE ELEMENTARY",0,0,0.027027027,0.144144144,0.387387387,650.9,653.2,654.1
"821","Dtype 1 Dnum 511 Snum 15","ADRIAN MIDDLE",0,0,0.055555556,0.138888889,0.444444444,649.7,651,658.2
"824","Dtype 1 Dnum 513 Snum 10","BREWSTER ELEMENTARY",0,0,0.076923077,0.230769231,0.576923077,643.2,645.5,650.6
"827","Dtype 1 Dnum 514 Snum 10","ELLSWORTH ELEMENTARY",0,0,0.1,0.2,0.4,649.4,NA,660.9
"829","Dtype 1 Dnum 518 Snum 4","WORTHINGTON MIDDLE",1,0,0.541353383,0.127819549,0.578947368,645.9,646.4,646.7
"832","Dtype 1 Dnum 531 Snum 30","BYRON MIDDLE SCHOOL",0,0,0.038167939,0.076335878,0.152671756,655.7,656.1,660.3
"835","Dtype 1 Dnum 533 Snum 25","DOVER-EYOTA MIDDLE SCHOOL",0,0,0.011235955,0.04494382,0.235955056,NA,NA,659
"836","Dtype 1 Dnum 534 Snum 20","STEWARTVILLE MIDDLE",1,0,0.032051282,0.083333333,0.237179487,653.7,656.9,657
"839","Dtype 1 Dnum 535 Snum 138","LINCOLN K-8 CHOICE ELEMENTARY",1,0,0.125,0.09375,0.25,664.5,657.6,659.7
"842","Dtype 1 Dnum 535 Snum 325","JOHN ADAMS MIDDLE",1,0,0.232081911,0.092150171,0.290102389,657.1,657.5,658
"845","Dtype 1 Dnum 535 Snum 330","WILLOW CREEK MIDDLE",1,0,0.157342657,0.059440559,0.248251748,657.4,657.5,658.4
"848","Dtype 1 Dnum 535 Snum 335","KELLOGG MIDDLE",1,0,0.192592593,0.096296296,0.248148148,660.7,659.1,660.6
"851","Dtype 1 Dnum 535 Snum 340","FRIEDELL MIDDLE",1,0,0.363636364,0.125874126,0.286713287,661.1,660.9,661.1
"854","Dtype 1 Dnum 542 Snum 10","BATTLE LAKE ELEMENTARY",0,0,0.068181818,0.045454545,0.340909091,657.2,659.2,664.9
"857","Dtype 1 Dnum 544 Snum 340","IQ ACADEMY MINNESOTA",1,0,0.227272727,0.045454545,0.090909091,NA,637.9,643.7
"859","Dtype 1 Dnum 544 Snum 390","KENNEDY SECONDARY SCHOOL",1,0,0.08125,0.15,0.2875,NA,NA,653.3
"860","Dtype 1 Dnum 545 Snum 10","HENNING ELEMENTARY",0,0,0,0.15625,0.4375,652.5,653.3,657
"863","Dtype 1 Dnum 547 Snum 10","PARKERS PRAIRIE ELEMENTARY",0,0,0.022727273,0.113636364,0.340909091,651.9,651.8,656.8
"866","Dtype 1 Dnum 548 Snum 10","VIKING ELEMENTARY SCHOOL",0,0,0.453333333,0.2,0.293333333,652.3,649.2,647.7
"869","Dtype 1 Dnum 549 Snum 20","PRAIRIE WIND MIDDLE",0,0,0.046296296,0.101851852,0.453703704,659.6,654.9,658.4
"872","Dtype 1 Dnum 550 Snum 10","UNDERWOOD ELEMENTARY",0,0,0.037735849,0.169811321,0.622641509,650,653.1,649.7
"875","Dtype 1 Dnum 553 Snum 10","NEW YORK MILLS ELEMENTARY",0,0,0.02,0.14,0.52,653.7,657.6,652.7
"878","Dtype 1 Dnum 561 Snum 10","GOODRIDGE ELEMENTARY",0,0,0.2,0.3,0.4,651.4,645.7,644.9
"881","Dtype 1 Dnum 564 Snum 60","FRANKLIN MIDDLE",0,0,0.111111111,0.137254902,0.385620915,655.2,655.4,658.2
"884","Dtype 1 Dnum 577 Snum 30","WILLOW RIVER ELEMENTARY",0,0,0,0,0.482758621,648.8,647.5,657.2
